Bird.ID,Breeding.site.latitude,Breeding.site.longitude,Wintering.site.1.latitude,Wintering.site.1.longitude
1,DE_349,48.6857406,8.0208759,36.9841787,-7.9147039
2,DE_93,48.6343517,7.928278,36.5056395,-6.1703671
3,DE_501,48.5553543,7.9404482,36.3999511,-6.2000523
4,ES_Struve,59.0540318,26.3413447,52.8226221,0.3789409
5,ES_Barklay,58.1814647,25.9762131,53.4698996,6.0480237
6,ES_Schilling,58.9425513,25.9690495,55.1341392,8.6780992
7,DE_562,48.4459635,7.8570603,37.00195,-7.9359851
8,DE_563,48.4105457,7.8617934,37.2241917,-7.0148129
9,PO_193,NA,NA,43.383456,4.578554
10,PO_221,NA,NA,36.4090688,-6.1894436
11,DE_240,48.6178614,7.9591285,41.6931016,-4.9230969
12,DE_361,48.7074715,8.0583874,38.6435162,-9.1202149
13,DE_521,48.4133595,7.8584309,37.2657604,-7.1661921
14,DE_003,63.63619232,29.15630722,53.87774658,8.608046532
15,DE_012,59.33005,70.78935,53.71504974,7.98278141
16,DE_013,54.20731735,9.437553406,52.15312958,1.570790052
17,DE_967,63.19970322,54.57643509,53.71563721,8.496945381
18,DE_976,61.07337952,28.50360107,53.87924957,8.599916458
19,DE_366,NA,NA,53.71354294,7.974888325
20,FR_041,63.19665,55.20645,45.894534,-1.082713
21,FR_042,57.96885,42.42935,45.887524,-1.09167
22,FR_043,NA,NA,45.894534,-1.082713
23,FR_044,63.02335,24.50245,45.892223,-1.085123
24,FR_046,46.92325,-0.09125,40.71545,-8.67575
25,FR_047,46.06135,-0.05665,37.00425,-7.86785
26,FR_048,64.619904,25.695457,46.230835,-1.502419
27,DE_056,61.07337952,28.50360107,53.84436035,8.574649811
28,DE_057,58.2146759,42.86654282,53.8408699,8.566721916
29,DE_058,65.90829468,56.6480484,53.82476807,8.554183006
30,DE_059,64.07668304,44.4032402,53.87524033,8.608645439
31,DE_060,64.90371704,53.69049072,53.72987366,8.504229546
32,DE_061,65.69298553,57.29204941,53.72829056,8.503660202
33,DE_640,62.69665,50.72405,53.72630692,8.501936913
34,FR_761,NA,NA,45.87191391,-1.106726646
35,FR_762,58.54865,46.56805,45.87191391,-1.106726646
36,FR_763,59.11355,45.90165,45.80784988,-1.137555003
37,FR_764,NA,NA,45.89494324,-1.082139969
38,FR_765,57.69265,47.09705,45.894534,-1.082713
39,DE_766,60.39326477,53.35960007,53.87587357,8.606403351
40,DE_923,48.55406952,7.933963299,43.51667404,-5.401111603
41,DE_924,48.67600632,8.007135391,38.51169586,-8.763999939
42,DE_925,48.63426971,7.937318325,46.19765091,-1.336323261
43,DE_928,48.63500214,7.944386482,43.42801666,-3.509198189
44,RU_031,50.42265,48.48035,19.79312897,-16.32102394
45,ES_033,59.00295,26.19485,53.71440125,7.68729496
46,ES_035,59.20455,26.25645,52.92582703,4.955274582
47,ES_036,58.87275,25.84375,54.62625122,-1.228619933
48,ES_038,59.20615,26.27285,51.18404007,2.947129965
49,DE_781,49.17448425,10.69701672,38.65277863,-9.132576942
51,DE_783,49.17435074,10.68548298,41.69156647,-8.803792
53,DE_785,48.62755203,11.20687294,44.76473236,-1.158311605
54,DE_786,49.17004395,10.69246292,36.43976212,-6.189488411
57,DE_1789,49.17043686,10.69064713,38.42740631,-8.749233246
58,DE_790,49.1733551,10.6857729,34.86449432,-6.270309925
59,DE_2493,61.30830765,46.63571548,53.71246338,8.494085312
60,DE_2495,59.66031647,36.64040756,53.52360916,8.304486275
61,DE_2497,61.77538681,45.72062302,53.71259308,8.495824814
62,DE_2498,66.31247711,58.75782776,53.71367645,8.49574852
63,DE_499,59.18422699,38.56994629,53.65808868,8.487279892
64,DE_500,59.15375137,36.71601868,53.75748825,8.528101921
65,DE_2501,63.02653885,33.67430496,53.65661621,8.488485336
66,RU_502,56.77455,37.82825,45.3432312,12.21433449
67,EN_996,52.496284,0.786272,50.666924,-1.979913
68,FR_067,46.92655,-0.05455,45.93065,-1.23055
69,FR_004,NA,NA,43.28885,-8.66645
70,FR_066,62.22945,27.91555,45.894325,-1.083948
71,NE_067,52.81583,6.313312,51.295681,3.218385
72,FR_414,60.59415,36.82685,NA,NA
73,FR_417,NA,NA,45.894534,-1.082713
74,FR_420a,NA,NA,45.894534,-1.082713
75,FR_420b,NA,NA,45.894466,-1.081848
76,FR_416,57.66555,41.79775,NA,NA
77,FR_426,NA,NA,45.894534,-1.082713
78,FR_431,NA,NA,45.894534,-1.082713
79,FR_495,49.26145,-1.22755,36.99135,-7.89355
80,BE_763,49.573521,4.830726,40.69952,-8.693582
81,FR_6765,46.78425,-0.00075,36.50195,-6.16725
82,FR_1204,NA,NA,48.295307,-4.210643
83,FR_185,53.707531,7.33297,45.894534,-1.082713
84,FR_186,59.5069444,29.595,45.873611,-1.10806
85,FR_187,65.129066,63.302586,45.894534,-1.082713
86,FR_188,NA,NA,45.894184,-1.07757
87,FR_189,61.130959,24.033445,45.873447,-1.105183
88,FI_190,64.319817,26.182487,54.871532,-4.377895
89,FI_191,62.218681,30.622068,53.716022,-0.434343
90,FR_424,63.31245,39.96955,NA,NA
91,FI_192,62.269585,30.509575,53.42403,5.67634
92,FR_193,59.102638,26.525089,45.894534,-1.082713
93,FR_249,46.91595,-0.05875,44.64625,-1.03795
94,DE_0341,NA,NA,53.67391586,8.473750114
95,RU_508,56.88175,37.75175,51.35832977,3.360665083
96,RU_509,51.41965,50.16005,34.33452606,10.18257332
97,RU_510,56.74035,37.81465,39.59165573,20.14290619
98,DE_511,NA,NA,53.71340179,8.493934631
99,DE_514,63.36355,53.27835,NA,NA
100,DE_518,NA,NA,53.72786331,8.503513336
